LINEAR PROBING HASH TABLE

Index	Value
95	11694 
96	19196 
97	26697 
98	29498 
99	40398 
100	41799 
101	22097 
102	1492 
103	27593 
104	40659 
105	6495 
106	36596 
107	38397 
108	14808 
109	49099 
110	37109 
111	45900 
112	46112 
113	14493 
114	38594 
115	28995 
116	11696 
117	12609 
118	42123 
119	25284 


 Slots used:		120
 Collisions occured:	13209 
 Values not stored:	30
 Load factor:		1.0



CHAINING HASH TABLE

Index	Value
0	34560 
1	1081 
2	39842 11282 3122 
3	42123 
4	
5	41645 33125 
6	33966 
7	39487 
8	13568 368 
9	29049 12609 
10	
11	
12	33972 
13	12013 42613 
14	31334 
15	6495 
16	
17	27737 22097 33737 
18	1818 
19	49099 43819 7099 
20	29180 
21	2541 
22	
23	29663 
24	12384 
25	
26	39746 13946 
27	3147 42387 
28	
29	10349 37109 
30	47310 
31	45031 
32	44912 32072 46112 35672 
33	11193 
34	3034 
35	17075 
36	23316 
37	20317 
38	
39	41799 6279 
40	33280 26920 
41	
42	
43	3523 
44	
45	23085 
46	
47	36527 15287 10487 
48	14808 
49	15529 48409 
50	25850 
51	33291 
52	14692 1492 19972 
53	
54	20694 11694 
55	46975 
56	11696 11096 48416 
57	26697 26337 
58	
59	6419 
60	10260 45900 
61	24781 29221 
62	
63	
64	21184 
65	
66	
67	
68	38588 
69	21429 
70	21670 
71	4871 
72	11232 49632 21432 2232 26232 
73	11593 26833 
74	24914 38594 13034 
75	28995 
76	
77	
78	40398 26838 7638 3318 
79	
80	20840 49040 26600 25760 
81	
82	35122 
83	37163 24083 20483 
84	25284 23364 22284 
85	22165 
86	
87	
88	47728 36808 
89	13409 35729 10769 89 
90	
91	
92	
93	14493 
94	49414 28654 
95	32135 18935 
96	
97	31777 4657 
98	29498 3218 
99	40659 
100	12820 
101	35141 
102	28302 45822 
103	2503 26503 41263 
104	
105	
106	
107	1067 
108	25308 27948 
109	
110	
111	29511 25311 
112	32272 
113	27593 
114	17514 9954 42234 
115	24715 34795 
116	19196 36596 44516 4676 
117	38397 
118	
119	19439 


 Slots used:	85
 Collisions occured:	97
 Load factor:	0.7083333





My Algorithm:
CHAINING HASH TABLE

Index	Value
0	26600 45900 
1	
2	28302 
3	2503 26503 
4	
5	
6	
7	
8	25308 14808 36808 
9	13409 48409 12609 
10	47310 
11	29511 25311 
12	44912 
13	12013 42613 
14	17514 24914 49414 
15	24715 
16	44516 48416 23316 
17	20317 
18	3218 3318 1818 
19	43819 6419 
20	12820 26920 
21	29221 
22	35122 45822 3122 
23	3523 42123 
24	
25	33125 
26	
27	36527 
28	47728 
29	35729 15529 21429 
30	
31	45031 
32	11232 49632 21432 2232 26232 
33	26833 
34	3034 31334 42234 13034 
35	32135 18935 
36	
37	27737 26337 33737 
38	26838 7638 
39	19439 
40	20840 49040 
41	35141 2541 
42	39842 
43	
44	
45	41645 
46	39746 13946 
47	3147 
48	27948 
49	29049 10349 
50	25850 
51	
52	
53	
54	9954 28654 
55	
56	
57	4657 
58	
59	40659 
60	25760 10260 34560 
61	
62	
63	29663 37163 41263 
64	23364 
65	22165 
66	33966 
67	1067 
68	13568 368 
69	10769 
70	21670 
71	4871 
72	32072 35672 19972 32272 33972 
73	
74	
75	17075 46975 
76	4676 
77	31777 
78	
79	6279 
80	33280 29180 
81	1081 24781 
82	11282 
83	24083 20483 
84	21184 25284 12384 22284 
85	23085 
86	
87	15287 10487 42387 39487 
88	38588 
89	89 
90	
91	33291 
92	14692 1492 
93	11593 27593 14493 11193 
94	20694 11694 38594 
95	6495 28995 34795 
96	19196 36596 11696 11096 
97	26697 22097 38397 
98	29498 40398 
99	41799 49099 7099 
100	
101	
102	
103	
104	
105	
106	
107	
108	
109	37109 
110	
111	
112	46112 
113	
114	
115	
116	
117	
118	
119	


 Slots used:	78
 Collisions occured:	113
 Load factor:	0.65

