LINEAR PROBING HASH TABLE

Index	Value
 Load factor:		1.0



QUADRATIC PROBING HASH TABLE

Index	Value
0	35520 
1	13920 
2	15942 
3	27843 
4	44044 
5	13905 
6	29766 
7	16803 
8	27364 
9	38289 
10	11640 
11	34931 
12	15372 
13	17993 
14	23654 
15	15851 
16	37326 
17	30737 
18	45018 
19	23659 
20	21020 
21	44855 
22	13757 
23	143 
24	1909 
25	41390 
26	24146 
27	17767 
28	39222 
29	37409 
30	13350 
31	44790 
32	16351 
33	28473 
34	21754 
35	49715 
36	19595 
37	11917 
38	40957 
39	18915 
40	13960 
41	33881 
42	1122 
43	32803 
44	16244 
45	10965 
46	27765 
47	3997 
48	47 
49	40683 
50	45135 
51	28011 
52	37252 
53	43133 
54	27874 
55	9894 
56	28256 
57	44576 
58	21712 
59	12899 
60	34380 
61	13261 
62	41222 
63	46229 
64	4024 
65	7665 
66	27906 
67	13266 
68	48308 
69	18669 
70	11950 
71	21070 
72	5332 
73	25753 
74	45554 
75	24915 
76	38236 
77	11236 
78	3198 
79	49399 
80	24796 
81	81 
82	11721 
83	14362 
84	25760 
85	43041 
86	38006 
87	8006 
88	37168 
89	11009 
90	29490 
91	7411 
92	33688 
93	41733 
94	8493 
95	44475 
96	4416 
97	31776 
98	46778 
99	19178 
100	38130 
101	36341 
102	19898 
103	8143 
104	36343 
105	31544 
106	27106 
107	8887 
108	31188 
109	19429 
110	7310 
111	3821 
112	14512 
113	48713 
114	40674 
115	34185 
116	12596 
117	14157 
118	18478 
119	22919 


 Slots used:		120
 Collisions occured:	944 
 Values not stored:	0
 Load factor:		1.0





My Algorithm:
QUADRATIC PROBING HASH TABLE

Index	Value
0	46229 
1	3821 
2	39222 
3	32803 
4	16803 
5	13905 
6	27906 
7	38006 
8	48308 
9	11009 
10	7310 
11	28011 
12	14512 
13	48713 
14	18915 
15	24915 
16	49715 
17	4416 
18	11917 
19	22919 
20	21020 
21	11721 
22	41222 
23	1122 
24	35520 
25	4024 
26	37326 
27	8887 
28	45018 
29	19429 
30	13920 
31	34931 
32	5332 
33	43133 
34	41733 
35	41390 
36	38236 
37	30737 
38	27874 
39	44475 
40	11236 
41	36341 
42	43041 
43	8143 
44	36343 
45	31544 
46	24146 
47	27843 
48	16244 
49	37409 
50	13350 
51	16351 
52	37252 
53	143 
54	44044 
55	23654 
56	28256 
57	14157 
58	45554 
59	23659 
60	11950 
61	13261 
62	14362 
63	25753 
64	21754 
65	10965 
66	29766 
67	13266 
68	37168 
69	18669 
70	13960 
71	15851 
72	15372 
73	28473 
74	40674 
75	11640 
76	44576 
77	31776 
78	46778 
79	18478 
80	21070 
81	81 
82	33881 
83	40683 
84	27364 
85	34185 
86	38130 
87	15942 
88	31188 
89	38289 
90	44790 
91	29490 
92	40957 
93	17993 
94	8493 
95	7411 
96	12596 
97	24796 
98	3198 
99	49399 
100	7665 
101	3997 
102	19898 
103	47 
104	9894 
105	19595 
106	27106 
107	8006 
108	33688 
109	1909 
110	27765 
111	44855 
112	17767 
113	19178 
114	45135 
115	34380 
116	25760 
117	13757 
118	21712 
119	12899 


 Slots used:		120
 Collisions occured:	1043 
 Values not stored:	0
 Load factor:		1.0



CHAINING HASH TABLE

Index	Value
0	35520 13920 11640 
1	
2	
3	27843 16803 40683 
4	44044 27364 
5	
6	29766 37326 
7	17767 8887 
8	
9	38289 
10	
11	34931 15851 
12	15372 
13	
14	23654 
15	45135 
16	
17	30737 
18	45018 
19	23659 
20	21020 
21	
22	
23	143 
24	
25	
26	24146 
27	
28	
29	46229 
30	13350 44790 
31	16351 
32	
33	28473 
34	21754 27874 
35	49715 19595 
36	
37	11917 40957 3997 
38	
39	
40	13960 
41	33881 
42	1122 
43	32803 
44	16244 
45	10965 27765 
46	
47	47 
48	
49	
50	
51	28011 
52	37252 5332 
53	43133 
54	9894 
55	
56	28256 44576 
57	
58	
59	12899 
60	34380 
61	13261 
62	41222 
63	
64	4024 
65	
66	27906 13266 
67	
68	48308 
69	18669 
70	11950 21070 
71	
72	
73	25753 
74	45554 
75	24915 44475 18915 
76	38236 11236 24796 
77	13757 
78	3198 
79	49399 
80	25760 
81	81 11721 43041 
82	14362 
83	
84	
85	
86	38006 8006 
87	
88	37168 33688 
89	11009 37409 
90	29490 38130 
91	7411 
92	
93	41733 8493 
94	
95	44855 
96	4416 31776 
97	
98	46778 19178 19898 
99	
100	
101	36341 3821 
102	15942 39222 
103	8143 36343 
104	31544 
105	34185 13905 7665 
106	27106 
107	
108	31188 
109	19429 1909 
110	7310 41390 
111	
112	14512 21712 
113	48713 17993 
114	40674 
115	
116	12596 
117	14157 
118	18478 
119	22919 


 Slots used:	79
 Collisions occured:	49
 Load factor:	0.65833336





My Algorithm:
CHAINING HASH TABLE

Index	Value
0	
1	
2	
3	32803 16803 
4	
5	13905 
6	27906 38006 8006 
7	
8	48308 
9	11009 1909 37409 
10	7310 
11	28011 7411 
12	14512 21712 
13	48713 
14	
15	24915 49715 18915 
16	4416 
17	11917 
18	45018 
19	22919 
20	21020 35520 13920 
21	11721 3821 
22	41222 1122 39222 
23	
24	4024 
25	
26	37326 
27	
28	
29	19429 46229 
30	38130 
31	34931 
32	5332 
33	43133 41733 
34	
35	45135 
36	38236 11236 
37	30737 
38	
39	
40	11640 
41	36341 43041 
42	15942 
43	8143 36343 27843 143 
44	31544 16244 44044 
45	
46	24146 
47	47 
48	
49	
50	13350 11950 
51	16351 15851 
52	37252 
53	25753 
54	23654 45554 21754 
55	44855 
56	28256 
57	14157 40957 13757 
58	
59	23659 
60	13960 25760 
61	13261 
62	14362 
63	
64	27364 
65	10965 7665 27765 
66	29766 13266 
67	17767 
68	37168 
69	18669 
70	21070 
71	
72	15372 
73	28473 
74	40674 27874 
75	44475 
76	44576 31776 
77	
78	46778 18478 19178 
79	
80	34380 
81	81 33881 
82	
83	40683 
84	
85	34185 
86	
87	8887 
88	31188 33688 
89	38289 
90	44790 29490 41390 
91	
92	
93	17993 8493 
94	9894 
95	19595 
96	12596 24796 
97	3997 
98	3198 19898 
99	49399 12899 
100	
101	
102	
103	
104	
105	
106	27106 
107	
108	
109	
110	
111	
112	
113	
114	
115	
116	
117	
118	
119	


 Slots used:	75
 Collisions occured:	59
 Load factor:	0.625

